Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
43755.8,0.1,7.71,177.2,397.6,161.4,135.7,6.12,644.0,7.6,148.6,101.7,93.9,5.01,653.56,7.16,33.6,140.2,25.4,27.2,1.2,654.84,7.06,8.0,38.2,6.6,6.0,0.14,657.65,0.161,0.37,0.182,0.946,0.727,0.955,0.904,0.959,0.977
43579.3,0.17,7.77,252.4,536.7,244.3,189.7,7.83,672.6,7.6,218.8,166.3,130.1,5.22,679.33,7.36,57.9,178.2,50.1,36.2,0.97,677.69,7.31,8.0,50.2,9.7,8.2,0.15,669.96,0.133,0.319,0.334,0.963,0.719,0.968,0.907,0.96,0.981
45215.5,0.16,7.18,221.2,510.8,277.6,205.5,9.31,608.1,6.92,188.8,190.3,147.9,5.83,614.52,6.91,48.6,175.4,49.5,45.4,1.34,605.36,7.1,12.8,46.6,9.0,10.3,0.18,611.93,0.147,0.315,0.374,0.932,0.734,0.942,0.909,0.968,0.981
38805.4,0.12,7.94,197.5,466.9,294.1,235.5,9.89,668.84,7.79,171.8,222.2,166.5,6.04,684.26,7.46,38.6,181.1,64.3,50.3,1.17,673.1,7.38,6.4,49.6,16.1,10.9,0.18,667.75,0.13,0.245,0.389,0.963,0.726,0.968,0.894,0.945,0.982
36343.8,0.21,7.9,259.0,580.3,290.6,245.8,9.12,713.91,7.83,221.1,192.9,187.8,5.83,710.22,7.3,54.6,210.6,55.6,60.5,1.01,714.62,7.41,10.9,57.5,12.3,12.2,0.21,719.08,0.146,0.336,0.361,0.951,0.727,0.958,0.901,0.958,0.977
39273.8,0.15,7.77,194.0,412.3,235.8,193.3,8.26,671.04,7.68,166.8,168.5,136.9,5.08,684.39,7.37,51.1,143.3,51.7,41.4,1.15,686.68,7.39,10.5,40.1,9.6,10.1,0.11,690.0,0.14,0.286,0.384,0.937,0.72,0.946,0.903,0.959,0.987
26546.7,0.14,7.25,215.2,461.8,301.9,248.6,10.71,659.91,7.25,179.8,213.3,178.6,7.1,649.47,6.94,45.0,187.2,71.5,55.7,1.56,650.31,7.14,7.4,52.4,13.0,12.1,0.34,654.01,0.165,0.293,0.337,0.959,0.72,0.966,0.887,0.957,0.968
28725.5,0.15,8.26,230.9,477.7,331.4,266.0,10.84,708.23,8.32,193.1,234.7,208.9,7.18,697.42,7.56,46.0,159.9,72.7,65.5,1.35,699.58,7.66,9.5,48.0,16.6,13.7,0.2,710.7,0.164,0.292,0.337,0.951,0.7,0.959,0.9,0.95,0.982
29958.8,0.11,7.82,172.3,417.4,280.8,210.9,9.25,690.4,7.78,152.5,206.5,150.5,5.87,697.92,7.53,35.1,155.4,67.7,48.0,1.14,692.97,7.6,7.6,44.4,13.8,12.8,0.19,688.0,0.114,0.265,0.365,0.95,0.714,0.956,0.894,0.951,0.979
31874.9,0.19,7.55,226.2,501.7,320.4,261.8,9.95,667.83,7.56,195.5,234.0,192.4,7.07,652.79,7.49,54.2,163.3,72.8,60.0,1.32,654.26,7.05,8.7,48.6,14.2,13.0,0.16,657.92,0.136,0.27,0.29,0.956,0.703,0.962,0.903,0.956,0.984
42970.1,0.12,7.73,203.0,448.2,285.6,219.6,8.82,631.49,7.69,167.4,196.3,162.6,5.51,637.22,7.24,44.4,154.9,63.4,48.9,1.09,657.53,7.08,6.9,43.3,12.9,12.4,0.22,665.09,0.175,0.313,0.375,0.959,0.72,0.966,0.903,0.955,0.975
32975.0,0.13,7.24,208.7,436.8,224.4,208.2,7.89,638.05,7.28,178.3,158.7,155.0,5.09,639.07,7.08,48.8,142.1,55.0,49.9,1.03,648.46,7.07,8.9,40.7,11.7,12.8,0.15,644.6,0.146,0.293,0.355,0.95,0.713,0.958,0.907,0.948,0.981
37280.1,0.2,7.53,266.8,578.9,297.4,241.9,10.22,648.5,7.57,214.9,193.3,176.2,6.83,659.22,7.12,54.5,204.7,55.1,59.6,1.33,656.91,7.19,9.6,56.3,10.9,15.0,0.18,652.44,0.194,0.35,0.331,0.955,0.725,0.964,0.903,0.963,0.982
50176.7,0.1,7.8,187.6,418.5,298.0,216.9,8.84,686.16,7.78,156.6,209.4,157.6,6.01,685.56,7.21,42.9,146.9,59.6,50.8,1.02,681.37,7.21,9.8,45.2,14.3,12.2,0.12,679.65,0.165,0.297,0.32,0.937,0.693,0.948,0.892,0.952,0.986
37545.1,0.05,8.12,132.3,291.5,286.9,209.4,8.68,731.32,8.08,117.3,194.5,151.5,6.03,731.88,7.57,26.8,99.6,61.0,46.6,1.15,709.0,7.54,5.9,29.2,14.7,10.3,0.16,710.95,0.114,0.322,0.306,0.95,0.707,0.956,0.9,0.949,0.982
46389.9,0.24,7.65,288.8,649.2,371.9,255.3,10.73,643.81,7.53,244.9,258.8,179.8,7.1,648.9,7.35,61.7,236.0,77.6,57.2,1.49,657.45,7.18,11.0,65.4,16.6,12.5,0.24,648.99,0.152,0.304,0.338,0.955,0.723,0.962,0.899,0.955,0.977
33176.9,0.27,7.72,318.4,633.7,155.7,125.0,4.69,717.84,7.61,271.2,95.5,92.3,3.37,711.21,7.48,68.7,217.3,29.5,23.4,0.65,717.5,7.34,13.3,60.1,8.7,4.8,0.11,720.81,0.148,0.387,0.283,0.951,0.723,0.958,0.905,0.944,0.977
39245.7,0.13,7.63,189.9,450.1,198.2,169.4,6.31,659.92,7.51,146.3,142.0,136.1,3.9,652.85,7.52,40.7,160.1,41.6,43.1,0.75,648.5,7.18,4.3,44.4,8.3,6.2,0.11,640.05,0.229,0.284,0.382,0.971,0.723,0.978,0.901,0.958,0.983
31966.6,0.08,7.84,131.7,307.7,211.4,168.3,6.77,673.87,7.79,109.9,134.4,129.7,4.68,678.62,7.49,28.4,114.3,37.9,40.3,0.84,667.16,7.32,4.2,32.1,9.0,9.9,0.09,674.92,0.165,0.364,0.309,0.962,0.719,0.968,0.896,0.958,0.987
37294.7,0.13,7.68,190.9,454.9,254.6,194.1,8.64,678.71,7.52,164.0,179.4,141.9,5.89,678.42,7.27,39.1,147.4,60.3,42.6,1.12,669.18,7.35,7.5,41.0,14.1,9.7,0.13,672.26,0.141,0.295,0.319,0.954,0.722,0.961,0.91,0.945,0.985
46728.1,0.12,8.17,208.5,458.6,273.3,198.6,8.02,703.15,8.05,179.6,181.5,149.0,5.67,699.08,7.54,45.1,154.5,50.0,45.4,1.27,702.63,7.39,9.8,41.0,12.0,11.2,0.17,714.11,0.139,0.336,0.293,0.945,0.734,0.953,0.911,0.956,0.979
26132.4,0.15,7.61,201.8,434.2,211.8,167.2,6.26,687.03,7.32,176.4,141.5,114.3,3.57,686.2,7.21,39.1,152.4,45.2,35.3,0.6,685.49,7.2,7.3,45.7,10.9,7.6,0.11,689.5,0.126,0.332,0.43,0.958,0.7,0.964,0.895,0.949,0.982
43150.8,0.12,7.31,179.4,424.3,213.9,187.8,6.68,637.93,7.35,151.4,159.0,133.4,4.07,653.88,7.17,30.9,153.5,49.8,45.7,0.89,659.41,7.11,7.7,46.3,11.2,11.0,0.17,657.58,0.156,0.257,0.391,0.949,0.698,0.957,0.891,0.948,0.975
41159.1,0.18,7.35,243.0,531.2,236.5,173.2,7.5,641.63,7.23,205.7,170.3,131.3,5.12,637.2,6.96,53.9,197.3,44.8,45.3,1.03,637.89,7.08,11.0,62.4,12.9,7.9,0.19,633.1,0.153,0.28,0.317,0.946,0.684,0.955,0.883,0.946,0.974
35293.1,0.17,7.45,229.0,516.3,411.5,289.3,12.73,677.55,7.39,188.0,297.2,218.7,7.48,672.83,7.16,45.9,179.0,85.8,67.2,1.52,680.57,7.31,7.5,47.7,16.1,13.0,0.23,682.0,0.179,0.278,0.412,0.96,0.733,0.967,0.908,0.961,0.982
28047.4,0.09,7.31,144.0,327.1,338.0,276.9,11.85,658.92,7.33,121.4,249.1,193.9,7.85,641.85,7.09,29.6,112.0,72.1,60.5,1.5,644.8,7.04,5.1,34.0,14.1,9.6,0.24,644.62,0.157,0.263,0.338,0.958,0.696,0.965,0.896,0.958,0.979
40620.0,0.19,8.02,251.1,557.6,252.4,210.9,7.96,704.06,7.94,207.1,170.5,148.4,5.49,703.64,7.55,54.3,188.2,53.4,46.0,1.06,710.27,7.27,10.4,45.1,10.3,9.9,0.15,717.38,0.175,0.324,0.31,0.95,0.761,0.959,0.919,0.959,0.981
35367.0,0.24,7.45,304.7,597.9,250.2,208.7,8.18,687.32,7.46,249.7,187.1,165.6,5.15,693.89,7.43,66.6,211.9,54.7,55.4,1.03,677.17,7.25,11.3,62.6,10.2,11.0,0.07,671.6,0.18,0.252,0.371,0.955,0.704,0.963,0.895,0.959,0.992
41311.6,0.15,8.44,208.2,518.5,222.2,157.3,6.71,760.37,8.24,171.5,143.8,113.9,4.24,768.73,8.01,44.5,179.1,42.8,36.9,0.8,758.86,7.69,10.3,44.3,4.6,6.8,0.11,770.98,0.176,0.353,0.369,0.94,0.753,0.951,0.915,0.979,0.984
40292.0,0.12,7.24,200.1,472.0,165.7,140.6,5.85,630.38,7.33,177.6,121.9,114.0,3.48,631.47,7.11,50.2,163.0,30.7,36.8,0.73,628.55,6.97,7.4,41.7,8.9,8.6,0.09,636.2,0.112,0.264,0.405,0.959,0.744,0.963,0.912,0.946,0.985
52889.7,0.15,8.04,231.6,502.7,297.3,196.6,8.45,704.7,8.02,195.5,204.2,143.0,5.34,714.25,7.43,50.4,175.2,70.6,47.4,1.11,722.89,7.44,9.5,50.4,12.1,9.8,0.11,721.67,0.156,0.313,0.369,0.951,0.712,0.959,0.9,0.959,0.986
38374.8,0.19,7.54,241.4,506.7,235.7,172.4,7.03,644.8,7.46,206.3,157.6,125.9,4.42,652.11,7.25,52.5,181.7,47.6,38.5,1.1,667.15,7.28,10.6,48.4,9.8,6.3,0.14,677.94,0.145,0.332,0.371,0.949,0.734,0.956,0.904,0.958,0.981
32905.0,0.07,7.6,143.8,345.8,271.6,223.1,8.43,665.7,7.61,119.6,195.1,158.5,5.27,676.83,7.19,30.6,116.5,60.5,54.8,1.08,675.51,7.18,5.0,29.6,9.3,15.9,0.17,670.81,0.168,0.282,0.374,0.958,0.746,0.965,0.914,0.966,0.98
41572.8,0.16,7.97,230.5,487.1,191.3,139.8,6.28,710.07,7.78,187.0,141.5,107.2,3.86,719.91,7.24,42.9,164.3,40.3,34.3,0.58,715.02,7.44,6.9,44.1,9.3,7.5,0.03,716.25,0.189,0.26,0.385,0.963,0.732,0.97,0.91,0.951,0.995
42002.5,0.14,7.03,204.1,456.4,245.1,167.1,7.24,634.57,6.91,178.2,178.9,129.8,4.62,650.27,6.98,47.4,163.2,51.1,39.0,1.04,634.63,6.76,8.4,48.6,8.6,7.0,0.12,626.97,0.127,0.27,0.361,0.953,0.702,0.959,0.893,0.965,0.983
50334.7,0.23,7.97,303.3,626.0,290.2,206.9,8.63,686.98,7.99,246.9,204.9,141.7,5.52,685.29,7.35,54.4,194.9,69.1,44.7,1.08,692.19,7.42,11.0,50.8,11.6,8.8,0.24,703.27,0.186,0.294,0.36,0.955,0.739,0.964,0.919,0.96,0.972
46037.4,0.15,8.23,219.4,449.8,302.7,225.7,9.73,730.28,7.99,183.7,212.9,160.0,6.89,717.01,7.77,44.2,152.6,56.2,54.9,1.58,712.61,7.52,7.2,42.5,11.6,11.8,0.16,702.73,0.163,0.297,0.292,0.961,0.721,0.967,0.905,0.962,0.984
43646.4,0.21,7.77,299.5,618.9,330.3,230.8,10.21,688.34,7.72,254.3,235.4,172.6,6.52,694.98,7.32,63.6,207.4,71.7,54.0,1.45,718.65,7.31,9.9,56.6,12.9,11.6,0.21,710.01,0.151,0.287,0.362,0.961,0.727,0.967,0.909,0.961,0.98
51244.7,0.09,7.84,184.6,423.5,229.8,168.2,6.04,699.8,7.78,158.1,163.3,120.2,4.03,707.61,7.48,37.2,157.8,44.1,41.3,0.75,701.69,7.26,8.4,47.5,7.7,11.0,0.05,697.88,0.144,0.289,0.333,0.947,0.699,0.954,0.888,0.967,0.991
29967.9,0.17,8.0,231.1,496.0,296.6,251.7,9.28,715.48,8.06,192.8,211.9,177.7,5.86,731.18,7.7,46.8,170.1,62.0,55.0,1.24,748.02,7.45,9.0,51.0,12.7,12.0,0.15,755.96,0.166,0.285,0.369,0.953,0.7,0.961,0.897,0.957,0.984
34862.4,0.17,7.73,227.8,484.4,235.8,164.4,6.92,670.25,7.5,184.5,166.7,125.4,4.32,683.07,7.45,51.6,165.0,47.4,37.8,0.8,689.05,7.21,10.8,38.9,11.1,11.1,0.11,694.78,0.19,0.293,0.376,0.941,0.764,0.953,0.92,0.953,0.984
32542.3,0.11,7.65,188.5,410.6,286.2,244.0,9.41,667.55,7.68,156.2,207.1,183.4,5.6,687.0,7.3,42.4,143.3,58.2,60.7,1.12,678.78,7.2,8.8,44.3,10.0,12.7,0.12,679.51,0.171,0.276,0.404,0.944,0.691,0.953,0.892,0.965,0.987
36430.3,0.15,7.07,220.8,473.2,261.2,206.5,8.84,611.4,6.92,183.9,169.8,145.5,5.28,617.6,6.9,43.9,160.8,51.1,44.0,1.12,619.46,7.11,11.2,42.6,8.2,10.3,0.2,625.57,0.167,0.35,0.403,0.939,0.735,0.949,0.91,0.968,0.978
28834.0,0.18,8.05,262.4,510.4,184.9,169.1,6.67,689.26,7.91,219.2,128.4,123.3,3.97,691.55,7.54,53.4,175.4,28.2,41.9,0.91,697.72,7.39,11.3,50.1,5.7,10.8,0.2,697.03,0.165,0.306,0.404,0.949,0.715,0.957,0.902,0.969,0.97
45695.9,0.15,7.71,223.3,473.0,265.2,185.7,8.09,678.54,7.51,194.6,174.6,125.2,5.32,664.69,7.32,44.8,166.3,51.1,41.1,1.15,662.89,7.45,7.0,42.8,11.3,10.8,0.22,665.42,0.128,0.342,0.343,0.964,0.743,0.969,0.909,0.957,0.973
37819.2,0.09,7.56,149.6,366.0,307.3,222.8,9.26,653.6,7.37,121.1,217.3,154.2,6.34,656.68,7.18,32.4,124.7,64.8,46.7,1.28,663.39,7.12,6.5,36.4,15.9,12.2,0.24,673.3,0.191,0.293,0.315,0.946,0.708,0.956,0.901,0.948,0.974
27536.7,0.16,7.88,202.9,453.7,302.9,233.8,9.14,678.17,7.81,174.0,225.2,169.2,5.41,672.64,7.69,42.7,155.4,62.1,53.9,1.33,679.17,7.44,6.9,53.7,10.3,11.5,0.13,677.69,0.143,0.257,0.409,0.961,0.654,0.966,0.882,0.966,0.986
32346.7,0.12,7.62,171.1,384.4,269.1,216.6,8.19,676.05,7.43,146.2,184.6,156.2,5.16,678.16,7.3,30.7,126.5,61.4,48.3,1.0,682.93,7.08,4.8,35.9,11.6,10.6,0.14,678.33,0.145,0.314,0.37,0.967,0.716,0.972,0.907,0.957,0.983
42754.3,0.14,7.6,207.4,462.1,346.5,247.8,10.79,683.48,7.56,181.1,243.6,171.6,6.6,684.02,7.34,45.6,152.5,70.7,56.0,1.16,683.89,7.2,6.1,40.9,16.5,8.6,0.2,686.72,0.127,0.297,0.388,0.966,0.732,0.971,0.912,0.952,0.982
46394.8,0.14,8.0,232.0,464.9,332.3,245.6,9.38,712.74,7.84,196.5,238.6,171.8,6.02,717.45,7.45,50.4,163.2,70.6,60.6,1.06,708.06,7.35,8.7,44.8,18.1,13.0,0.2,712.5,0.153,0.282,0.358,0.956,0.726,0.963,0.904,0.946,0.978
55182.8,0.08,7.45,173.6,375.1,290.4,190.2,7.65,635.7,7.26,151.5,186.7,129.5,5.3,634.73,7.23,40.8,133.8,53.7,40.3,1.21,634.12,7.22,8.2,31.6,8.7,10.5,0.27,634.78,0.127,0.357,0.308,0.946,0.764,0.953,0.916,0.97,0.965
62938.6,0.08,8.32,186.4,399.4,339.1,241.3,9.18,722.76,8.18,157.6,233.2,176.9,5.83,732.11,7.69,39.2,128.3,69.6,58.2,1.16,733.52,7.47,7.0,41.7,12.4,14.2,0.23,739.54,0.155,0.312,0.365,0.956,0.675,0.963,0.895,0.963,0.975
43287.9,0.2,7.47,234.4,532.6,377.5,285.5,11.71,639.24,7.4,201.4,267.2,191.8,7.59,612.01,7.2,49.2,192.5,85.4,61.4,1.53,597.0,6.92,7.2,55.2,17.8,13.4,0.28,595.79,0.141,0.292,0.351,0.964,0.713,0.969,0.896,0.953,0.977
32666.5,0.13,7.7,181.5,423.1,373.4,291.5,11.54,641.58,7.58,146.7,238.2,202.8,7.94,643.48,7.29,42.6,154.2,81.4,65.0,1.53,644.84,7.1,5.4,39.0,15.1,16.8,0.36,645.6,0.191,0.362,0.312,0.963,0.747,0.97,0.908,0.96,0.969
22425.3,0.04,8.69,113.2,261.8,193.1,161.7,6.9,747.78,8.59,83.1,127.4,103.4,4.62,759.8,7.89,20.8,99.4,41.2,32.6,0.88,759.03,7.51,6.9,23.8,6.7,6.6,0.14,761.28,0.266,0.34,0.33,0.917,0.761,0.939,0.909,0.965,0.98
42099.4,0.19,8.19,252.6,568.3,239.1,186.8,6.37,716.01,8.15,216.6,176.2,137.5,3.92,734.71,7.75,56.3,201.3,57.2,41.4,0.7,724.34,7.54,10.6,56.4,11.9,8.0,0.09,726.06,0.143,0.263,0.386,0.951,0.72,0.958,0.901,0.95,0.986
33834.0,0.15,7.88,216.6,492.2,365.2,275.6,10.13,721.83,7.86,186.2,263.7,185.8,6.63,729.15,7.45,44.9,177.4,86.0,60.5,1.37,726.49,7.38,6.9,53.4,20.3,12.6,0.21,736.17,0.14,0.278,0.345,0.963,0.699,0.968,0.892,0.944,0.979
35486.5,0.14,7.59,198.7,428.9,220.9,156.5,7.18,673.64,7.46,171.3,157.6,112.9,4.42,690.49,7.2,44.9,167.6,48.3,35.3,0.87,688.0,7.13,8.8,42.3,7.0,6.1,0.09,690.21,0.138,0.286,0.385,0.949,0.747,0.956,0.901,0.968,0.988
35620.1,0.09,7.54,163.5,373.1,221.9,169.8,5.4,674.79,7.36,136.3,162.4,133.8,3.64,676.48,7.38,29.7,128.2,55.0,40.1,0.77,691.92,7.18,8.6,40.3,14.0,9.8,0.12,690.1,0.166,0.268,0.327,0.937,0.685,0.947,0.892,0.937,0.978
38282.4,0.19,7.78,256.6,527.4,261.0,202.6,8.26,685.94,7.68,225.6,184.4,157.6,5.52,685.96,7.32,55.0,176.2,58.5,53.5,1.14,687.73,7.37,10.8,49.0,10.5,12.2,0.08,690.89,0.121,0.293,0.331,0.952,0.722,0.958,0.907,0.96,0.99
48693.8,0.17,7.76,243.5,487.6,294.1,222.1,8.4,683.58,7.7,204.7,210.3,147.3,5.05,688.88,7.34,47.6,158.4,63.7,47.4,0.97,697.16,7.22,4.4,40.6,13.4,11.3,0.12,703.22,0.159,0.285,0.399,0.979,0.743,0.982,0.917,0.954,0.986
41379.7,0.25,7.84,314.3,663.7,263.2,194.3,8.68,662.22,7.62,269.3,181.7,142.0,5.7,662.19,7.38,65.5,246.3,55.9,44.8,0.99,661.24,7.32,15.8,67.1,14.4,9.2,0.14,665.89,0.143,0.31,0.344,0.941,0.728,0.95,0.899,0.945,0.984
39273.2,0.17,7.77,233.9,513.8,235.9,196.7,7.17,652.99,7.6,201.8,166.0,134.7,4.62,645.17,7.22,54.2,194.0,42.5,47.1,0.77,630.18,7.33,7.0,61.3,9.2,10.3,0.16,634.49,0.137,0.296,0.355,0.965,0.684,0.97,0.881,0.961,0.977
31990.2,0.17,7.75,214.1,488.9,225.7,174.4,7.91,660.48,7.59,190.6,152.9,117.2,5.3,655.33,7.44,45.8,163.7,47.0,32.0,1.36,660.71,7.25,7.9,40.3,8.8,3.8,0.26,651.72,0.11,0.322,0.329,0.958,0.754,0.963,0.918,0.961,0.967
25413.9,0.14,7.48,195.9,441.1,226.6,183.3,8.71,636.02,7.36,164.9,168.7,131.2,5.91,624.9,7.02,43.4,148.6,44.4,45.8,1.33,619.64,7.12,6.1,38.7,10.3,10.6,0.15,604.68,0.158,0.255,0.321,0.963,0.74,0.969,0.912,0.954,0.983
35717.1,0.18,7.73,250.2,540.9,238.5,178.8,6.27,632.92,7.57,209.4,179.1,137.3,4.22,638.21,7.25,56.9,186.7,47.2,41.3,0.98,635.52,7.23,9.1,56.1,9.1,9.2,0.25,643.17,0.163,0.249,0.327,0.956,0.7,0.963,0.896,0.962,0.96
39638.8,0.17,8.06,259.3,499.6,408.6,297.0,12.2,699.27,8.01,212.9,297.1,218.0,7.84,699.39,7.56,53.1,184.7,89.9,70.4,1.5,690.96,7.48,10.0,52.6,19.0,13.8,0.23,693.6,0.179,0.273,0.357,0.953,0.715,0.961,0.895,0.953,0.981
54045.9,0.21,7.32,288.4,585.3,316.3,214.1,8.22,635.24,7.09,252.9,218.1,149.2,5.62,631.63,7.13,66.2,194.6,61.0,46.0,1.13,632.22,6.99,8.8,51.3,11.8,10.0,0.18,632.09,0.123,0.31,0.316,0.965,0.736,0.969,0.912,0.963,0.978
41281.0,0.13,7.86,181.8,428.4,320.3,234.2,10.0,671.08,7.63,156.6,216.6,173.6,6.24,665.42,7.33,40.7,134.2,64.9,52.8,1.17,673.94,7.32,7.2,41.4,14.7,11.2,0.09,678.1,0.138,0.324,0.376,0.954,0.691,0.96,0.903,0.954,0.991
48256.6,0.12,7.63,211.7,490.8,240.4,193.9,7.68,645.48,7.5,182.2,178.5,123.9,4.6,650.53,7.23,45.9,189.1,54.1,43.6,0.79,657.99,7.26,10.0,57.0,8.0,12.2,0.09,669.56,0.139,0.258,0.402,0.945,0.699,0.953,0.884,0.967,0.989
36309.9,0.13,7.67,217.8,452.1,266.6,213.6,8.27,678.22,7.56,200.7,190.9,148.5,4.42,686.02,7.42,52.4,160.7,58.0,53.1,0.82,698.71,7.34,8.2,46.3,9.6,10.1,0.18,707.19,0.078,0.284,0.466,0.959,0.712,0.962,0.898,0.964,0.979
30413.3,0.19,7.65,246.7,484.5,232.8,207.9,7.06,694.2,7.44,211.3,165.6,143.9,4.57,682.89,7.28,58.4,173.2,46.1,45.4,1.05,696.72,7.29,8.4,46.1,6.4,10.5,0.17,702.49,0.143,0.289,0.353,0.96,0.734,0.966,0.905,0.973,0.977
31355.9,0.22,8.26,263.8,547.7,140.0,102.1,4.83,734.25,8.11,217.7,92.9,74.1,2.9,721.38,7.62,52.5,190.1,31.5,24.7,0.66,705.01,7.51,9.2,51.4,6.2,3.8,0.1,699.69,0.175,0.336,0.401,0.958,0.73,0.965,0.906,0.956,0.978
33970.5,0.14,8.03,199.1,435.0,229.1,164.9,5.85,686.79,7.9,168.3,163.8,117.3,3.92,696.34,7.61,39.2,156.0,48.8,37.7,0.69,686.79,7.45,6.5,44.8,6.7,7.5,0.11,682.25,0.155,0.285,0.33,0.961,0.713,0.967,0.897,0.971,0.98
57235.9,0.13,7.5,218.4,475.1,225.6,135.8,6.28,639.62,7.37,180.7,149.3,96.8,3.49,625.87,6.93,42.1,154.2,46.5,36.2,0.67,611.4,7.11,6.7,37.9,7.9,8.4,0.03,597.09,0.172,0.338,0.444,0.963,0.754,0.969,0.92,0.965,0.996
32883.7,0.17,8.03,213.5,469.8,168.7,141.4,4.96,699.71,7.94,179.5,123.2,100.6,3.03,705.19,7.51,47.9,157.7,32.2,25.9,0.68,710.24,7.31,6.8,49.5,4.2,5.4,0.1,714.04,0.159,0.27,0.389,0.962,0.686,0.968,0.895,0.975,0.98
47023.6,0.13,7.63,215.8,504.5,217.1,158.8,6.15,645.24,7.47,181.4,163.0,114.5,4.14,661.41,7.2,48.7,177.4,48.2,37.8,0.77,655.87,7.25,9.6,56.5,12.6,8.3,0.19,662.52,0.159,0.249,0.327,0.947,0.682,0.956,0.888,0.942,0.97
33230.8,0.19,7.63,249.8,537.8,331.1,249.6,11.13,651.15,7.65,209.4,244.8,183.5,6.92,667.35,7.33,50.7,170.1,77.8,56.5,1.39,663.43,7.08,10.0,46.7,13.6,12.9,0.26,670.57,0.162,0.261,0.378,0.952,0.726,0.96,0.913,0.959,0.976
47516.0,0.07,7.83,124.3,343.5,286.0,202.6,8.41,704.57,7.77,98.7,205.8,146.9,5.59,711.95,7.32,18.3,117.8,65.6,39.9,1.16,710.22,7.37,1.7,34.4,10.6,8.0,0.17,714.27,0.206,0.28,0.335,0.983,0.708,0.986,0.9,0.963,0.98
41547.7,0.13,7.63,181.6,417.5,339.1,254.4,11.2,658.95,7.46,162.3,226.3,181.2,7.11,666.04,7.25,38.6,143.2,64.7,56.9,1.46,669.1,7.2,5.5,44.8,13.4,13.8,0.3,668.18,0.106,0.333,0.365,0.966,0.687,0.969,0.893,0.96,0.973
38107.9,0.11,8.07,187.2,433.7,305.0,227.6,9.61,690.37,7.98,160.6,215.1,166.7,6.23,712.88,7.57,41.8,149.4,62.3,58.9,1.27,701.0,7.4,7.7,49.6,15.8,12.5,0.13,697.62,0.142,0.295,0.351,0.952,0.668,0.959,0.886,0.948,0.987
40617.0,0.05,7.56,123.5,311.3,323.0,242.2,9.35,656.12,7.47,103.9,243.2,180.2,6.26,632.77,7.35,25.8,104.5,69.0,55.7,1.19,622.7,7.2,3.2,35.5,13.6,12.1,0.13,617.75,0.159,0.247,0.331,0.969,0.66,0.974,0.886,0.958,0.986
34488.4,0.11,7.43,178.1,398.5,215.3,178.4,7.11,663.2,7.42,155.1,143.8,124.6,4.91,658.56,7.31,39.3,131.5,40.5,42.2,0.93,658.57,7.15,7.3,29.9,8.0,9.8,0.23,657.59,0.129,0.332,0.31,0.953,0.773,0.959,0.925,0.963,0.967
42576.5,0.13,7.56,178.1,431.8,325.0,215.0,9.33,630.72,7.42,153.8,227.0,154.4,6.1,639.2,7.15,36.9,136.6,62.5,53.0,1.11,648.79,7.24,8.8,37.0,15.1,12.0,0.19,642.93,0.137,0.301,0.347,0.943,0.729,0.95,0.914,0.954,0.979
36977.8,0.12,7.64,213.1,434.7,313.1,242.8,10.2,662.42,7.6,182.5,230.5,182.9,6.39,659.05,7.24,48.7,153.3,68.6,58.5,1.12,658.84,7.22,8.7,44.9,15.5,13.8,0.15,669.38,0.144,0.264,0.374,0.952,0.707,0.959,0.897,0.951,0.985
30201.8,0.2,8.1,242.8,563.5,218.2,189.3,7.81,726.0,8.0,209.8,157.7,128.6,4.94,738.39,7.71,53.5,194.8,49.8,41.5,0.98,732.06,7.42,7.8,52.6,10.8,9.6,0.14,724.25,0.136,0.277,0.368,0.963,0.73,0.968,0.907,0.95,0.982
30329.0,0.13,7.96,210.6,446.4,294.6,241.2,9.41,705.63,7.98,179.6,226.0,186.3,6.31,705.24,7.41,46.7,145.2,64.7,54.5,1.34,688.05,7.5,9.0,47.8,11.8,12.7,0.16,686.87,0.147,0.233,0.33,0.95,0.671,0.957,0.893,0.96,0.983
41519.2,0.1,8.36,166.8,429.6,313.4,222.7,9.27,764.75,8.37,145.1,213.5,151.0,5.72,766.06,7.73,36.8,150.9,63.7,46.2,1.01,773.68,7.57,6.3,48.8,13.7,9.7,0.16,762.07,0.13,0.319,0.383,0.956,0.677,0.962,0.887,0.956,0.982
52862.0,0.14,8.37,224.8,483.6,280.0,174.7,7.66,766.8,8.29,194.8,188.1,123.4,4.92,764.05,7.85,50.3,166.9,55.5,42.2,1.01,758.16,7.69,8.8,43.5,8.4,7.7,0.16,759.94,0.133,0.328,0.357,0.955,0.74,0.961,0.91,0.97,0.979
